Counties,State,OATS 2017,SOYBEANS 2017,WHEAT 2017,CORN 2017,OATS 2012,SOYBEANS 2012,WHEAT 2012,CORN 2012,OATS 2007,SOYBEANS 2007,WHEAT 2007,CORN 2007,OATS 2002,SOYBEANS 2002,WHEAT 2002,CORN 2002,OATS 1997,SOYBEANS 1997,WHEAT 1997,CORN 1997
Emmet ,Iowa,8480,4975997,,22393164,2980,3682533,,17144234,9320,4222673,21800,22325724,21418,4264269,,16662494,22087,3904366,,13913831
Emmet ,Michigan,46471,,3694,48713,15839,,2015,72596,15954,4600,7945,140244,23184,,2023,124149,38791,,1347,87015
Douglas ,Illinois,11741,6818753,60429,25035525,149536,4677447,67259,11948683,57353,4748216,59168,25937297,59589,4766653,35775,14218934,105535,4932867,32619,15477470
Faribault ,Minnesota,70938,9833806,,41460923,45924,7601542,,35392562,44215,8028976,49341,44083340,102242,8657676,18320,33694695,87016,7389838,31194,28769797
Fillmore ,Minnesota,118289,4342668,,28118083,365632,3557358,3571,26296445,388187,3895077,38780,26451269,633145,4581255,7807,21823120,487288,3351300,8150,19025636
Florence ,Wisconsin,5806,,,,,,,,,,,,3500,,,,7230,,,
Floyd ,Iowa,28050,5890126,,29074265,19218,3999142,,19924497,25804,4707979,,25516357,91012,5382644,,20946610,117755,5171570,7200,18646557
Fond Du Lac ,Wisconsin,79754,2850347,804026,13985744,101677,1940464,1239004,9215026,284831,1920249,1324278,13338559,462054,2227842,819428,12179101,576819,1609947,575072,10424978
Ford ,Illinois,770,7274490,60830,25905852,12580,5204644,321955,12213295,4800,5218610,194373,25424275,29383,6367958,149829,19153566,53977,6617850,98180,19588154
Forest ,Wisconsin,60197,26990,900,55869,13830,,,,18699,,,8040,18132,1013,,33100,20029,,,11800
Franklin ,Iowa,6295,6461680,,39608532,48684,4399129,,31174310,46648,4719280,,39222127,87953,6346525,,26169958,75317,5729788,7065,21047841
Franklin ,Missouri,1130,1357504,114710,1956987,1287,882446,133608,1248253,,856217,161834,2925608,1945,1166470,211153,1927423,5195,986642,389283,1912416
Freeborn ,Minnesota,27682,8562606,4170,39339079,31816,5937967,17638,31503419,105353,6698708,13236,32626321,132042,7439421,4874,27633180,110066,6365628,1819,23549544
Fayette ,Iowa,82609,6195747,,34253146,66107,4908561,,26405606,115289,4708322,,32851451,303311,6135314,,27870975,417386,5127720,2990,23935731
Fresno ,California,24808,,3087441,210733,197099,,5833793,816638,257742,,3045130,1959370,242767,,4129753,917182,164236,,2956133,984269
Door ,Wisconsin,155586,720493,562785,2385578,161918,371769,858905,2223066,197433,248640,634101,1348602,330942,348602,479955,1635288,511456,106837,325177,1330241
Dodge ,Minnesota,32623,5040411,,26414536,53981,3245281,9694,21634804,67306,3859472,6859,20896241,126086,4334762,7204,15543698,135224,3872033,22306,14437331
Crawford ,Iowa,16209,8338646,52917,45014557,42717,6109518,,28702130,35652,7074220,,33063163,85571,7937372,,26830444,156313,6562566,,20119381
Crawford ,Wisconsin,55831,800293,44161,4766355,94270,546586,56710,3813598,110083,451615,21988,3914451,195659,562035,21154,4091976,233531,184069,8528,3053813
Crow Wing ,Minnesota,65747,236011,,1076258,42207,76159,22782,1261259,44602,32580,,298134,78899,,,680806,105688,15692,,758626
Dakota ,Minnesota,23716,3373894,27374,20733764,55363,2425954,32340,17333439,56858,2278780,114007,16062802,93400,3338947,62842,14390758,102108,2675510,104537,12828170
Dallas ,Iowa,9460,5450805,,26503711,12837,3786469,,18126486,4413,4942190,,22447834,15482,5029656,,18245964,70061,5509083,,17632128
Dallas ,Missouri,540,66006,,127023,,40793,46343,4155,,27959,5165,,,1520,14237,9555,,,11339,9337
Dane ,Wisconsin,45189,4887242,796148,31108332,106285,3113351,1079402,18333619,189803,3407284,879217,26480700,327230,4048239,462249,21795608,333273,2923355,300793,22684592
Darke ,Ohio,12369,7720995,840506,21810889,11702,6112586,882676,12706021,49607,6489677,1247342,19979370,19938,4308423,859989,7889311,88412,5709687,1501551,14351989
Daviess ,Indiana,4280,4302169,86682,17601467,6119,1682645,290280,7418112,,2163566,281211,16282127,,2200671,239135,8192503,3840,1963411,584588,8670567
Dodge ,Wisconsin,89525,4559811,926170,24652186,187755,3066517,1150284,17755494,248219,3011951,1102479,21661441,463072,3183189,633601,17877184,543976,2138149,523201,16408373
Daviess ,Missouri,9378,2888425,96881,5480614,22891,1809600,152221,1689713,13641,2607657,180763,4239110,42574,2282987,172048,2598709,40245,2742785,278515,2760207
Decatur ,Iowa,15000,1918214,16764,5394470,7019,1211337,9864,2151052,136837,1323237,10153,3703792,21898,1334791,11815,3464824,41169,1288648,7134,2859248
Dekalb ,Illinois,432782,7880133,291137,41138247,257159,5107964,533049,37819783,99461,4304222,454174,47741555,94043,6283666,228024,26619412,182576,6548083,169438,29218504
Dekalb ,Missouri,7068,2353763,42577,5475445,,1553007,159650,2041956,1844,1719074,107469,4021219,18185,1082926,67525,1735366,6410,1381644,89009,2670865
Delaware ,Iowa,73184,3411494,189,46886694,178323,2334793,,28679110,139786,2216893,,33926814,303106,4216376,5646,26848909,402129,3047920,5660,21570425
Delaware ,Ohio,7750,3289339,214456,6002080,17200,2869984,192229,5669734,9893,2829625,589402,6193200,15252,2514773,666697,2592184,35986,2920329,658912,5874922
Delta ,Michigan,26022,,4410,169764,65983,,15505,282164,98461,,17143,290058,61274,,31882,213845,92903,13520,29134,181500
Dewitt ,Illinois,2200,5546154,,17591591,3100,4303490,,12125923,,3722370,40576,19033351,11753,4616775,16431,12579221,14921,4305771,31130,13926547
Dickinson ,Iowa,5607,4245649,,16948761,5092,3467667,,13086381,8716,3508267,,18869813,38337,3690516,,12036484,30679,3326205,,10100178
Dickinson ,Michigan,6005,,,25060,12993,,,87832,20917,,,15702,21581,,,50475,50346,,,33341
Davis ,Iowa,12420,1333949,50480,3605135,33229,991027,39011,1821443,13275,1261176,21614,4758920,86231,1779175,20218,5043653,105806,1733117,13352,4086037
Geauga ,Ohio,73202,309391,59179,496481,121076,158730,21212,754819,99924,75919,21350,536323,118407,67149,45277,315818,121687,79474,33226,389903
Genesee ,Michigan,4980,1780176,274149,4426902,15520,1744612,450289,3927755,11648,1421532,407874,3912218,27526,1465349,504106,2487425,57413,1069723,439883,2838479
Gentry ,Missouri,8688,2294473,84767,4573357,11161,1520461,171323,1852296,17764,1641562,129696,4180920,20667,1643904,74375,2454758,12758,1759645,139876,3051478
Hillsdale ,Michigan,16933,3803596,725304,10558633,32507,3107534,700606,7702360,22702,2409721,679090,7983889,56059,2345316,626701,6444942,57469,2420618,768549,7716972
Holmes ,Ohio,132335,867150,112588,3919479,349412,757771,97057,3991874,304667,708813,155399,4044558,459655,366225,170885,1765662,643223,305524,160885,2808589
Houghton ,Michigan,32363,,,72472,17134,,,29257,9015,,,14000,9184,,,,14874,,,
Houston ,Minnesota,84073,1234243,2610,8211854,159678,1150473,27470,8636270,147375,976341,,6956940,287217,1196414,4514,7300178,274564,1344564,11536,9213749
Howard ,Iowa,53741,5318003,,27221890,74997,4442078,,18432562,132935,4190534,3490,20610632,210606,4434802,,16176415,216738,4083508,10735,14584220
Howard ,Missouri,1209,2250150,283689,5699634,4064,1346335,251471,2123518,,1662405,410067,6365035,4070,1774603,373395,3808622,5968,1412939,722966,3441164
Hubbard ,Minnesota,41377,57390,,2154201,63856,132298,86613,1881985,36301,55841,44927,2314406,60763,84194,20570,1872691,66890,,4920,1316749
Humboldt ,Iowa,2673,5582318,,22643357,12979,3912426,,17641270,6570,4726019,,25684300,24120,5461184,,21093167,34905,5481621,,17736193
Huron ,Michigan,108168,3399190,7342679,17131948,70554,2247221,4893531,15216015,112528,1393933,4706640,14578463,218229,2149328,2570875,14342812,314641,1238780,2089680,13782487
Highland ,Ohio,401,6195806,264348,7952862,6636,4322787,358386,6407163,10260,3056738,341985,5756925,1567,3066699,507828,2879584,13146,2627897,563509,5324562
Huron ,Ohio,13060,5961098,1054559,10462088,46810,3969865,574328,10788128,21223,3547509,1419524,10896673,17373,2657332,1382832,4981481,57949,3645189,1316045,7246809
Imperial ,California,29872,,1822527,146795,,,8880319,95496,127527,,4366550,,,,4879207,104567,,,7900407,378676
Ingham ,Michigan,3800,2782725,878267,7833259,14300,2303453,1488963,7921014,17168,2078807,1133101,6200454,18461,2107886,950556,5181846,61637,1836932,1079631,5535448
Ionia ,Michigan,18657,3114324,800897,10939560,36009,2933669,934268,10946684,57681,2043044,574732,9403768,89874,2636445,777232,8315443,110492,2064678,1212717,7622136
Iosco ,Michigan,21772,103240,45424,510688,16741,83814,60720,536635,45263,50151,105799,825267,52629,58887,53434,473569,44366,26776,60386,260198
Iowa ,Iowa,37107,5747487,10328,25642055,38755,4550484,,17680929,42904,3994895,,23265887,184119,4373421,2690,18150124,265436,3861978,22465,15015505
Iowa ,Wisconsin,164747,2367024,113178,12038150,122324,1137858,209696,5092391,206608,1144412,81996,8926828,255040,1253857,32821,7320240,276144,740663,16580,6948410
Iron ,Michigan,36901,,10040,,26698,,6834,,14272,,,,24919,,14400,,34230,,,
Iroquois ,Illinois,8463,15896150,577107,60759909,36183,10589097,411757,41728610,48558,11206568,543190,68270543,46312,14146409,233772,48332456,80228,12894481,316735,41605046
Isabella ,Michigan,63026,2996205,756319,5367704,73070,2211020,1241678,5000529,97100,1459215,911133,4520058,109072,1671247,876192,3583438,104451,1149124,601158,4450809
Ida ,Iowa,24475,5943862,,25510287,38220,4028409,,17001399,16392,4701222,,21665271,47169,5238304,,17456983,87328,4311951,,14248223
Henry ,Missouri,3375,3821914,785337,4465553,6150,1305902,1067399,677988,3798,1449390,520220,2300588,7600,1078020,617224,1550758,18221,1184015,815008,1223984
Henry ,Indiana,2760,4149467,130788,10263588,8215,2998816,168667,6684944,,3088262,212036,11244960,6903,3054298,93264,7053087,17559,3267412,180163,8731695
Henry ,Illinois,30746,10635195,62680,50614384,27652,7410739,65060,33869144,59080,7333114,203469,49060364,145801,9140172,69510,36174571,400208,6881602,96693,27963130
Gladwin ,Michigan,28047,283288,106913,718796,42079,268962,101372,859458,45198,122251,97099,855202,55857,146765,58199,685957,70581,48719,135517,722863
Goodhue ,Minnesota,82792,6122650,,32039120,117017,4754919,21197,30822730,337015,4055326,58658,26593571,358608,4566405,26130,20060885,399105,3687916,26443,17949871
Grand Traverse ,Michigan,103711,66431,58478,516042,48863,38879,62310,625989,51097,6567,52974,301380,76937,14393,46997,497606,46829,7152,71296,565411
Grant ,Wisconsin,308005,4134685,139797,25452118,426536,2292185,188747,14226742,558468,2254344,120517,23407140,845065,2478288,41558,19557149,981691,1493592,2945,17120792
Gratiot ,Michigan,3353,4228815,1382339,13131021,10769,4135154,1672571,14776349,29642,2895735,1144756,11425124,49192,3602193,956805,9467214,35525,3027493,767978,9644845
Green ,Wisconsin,86777,2829378,319131,15719649,127095,1560018,518689,6369525,233450,1741975,424234,13523128,359710,1785591,213783,9197985,342662,1379879,158477,10793719
Green Lake ,Wisconsin,21278,989908,233749,7215650,39881,657647,391900,5574178,57843,522598,302737,6991117,115554,742423,224389,5605657,166969,509055,116254,5212481
Greene ,Illinois,6480,6896747,134061,22806460,,4221525,160868,12712913,,2695166,303965,19114361,1410,4510820,252394,14899593,,4398830,670986,15046148
Greene ,Iowa,35841,7806361,,30534670,10590,4313295,,22608810,30946,5911561,,32045017,54925,6793877,15000,24494004,48966,6760635,,20748276
Grundy ,Iowa,2154,8182351,,34547098,,7050325,,28001030,10761,6488710,,30442923,39652,7558290,,26488718,75815,6781670,,21195769
Grundy ,Missouri,7640,3065919,165443,5027387,9560,1371314,198801,1123675,9953,2083797,193410,3699145,26679,1914389,152275,1877659,32621,2510672,298102,2090745
Guernsey ,Ohio,4672,201377,,756310,12370,96312,3648,308213,9989,108013,4252,417728,9939,53567,5025,181052,31987,31613,15113,589122
Guthrie ,Iowa,15614,5565562,,22116973,33186,3484046,,13952146,35323,4764454,,20639110,52616,4413015,,15443762,125274,3477612,1420,11155350
Hamilton ,Iowa,21136,6198435,,33693290,5470,3939161,,28701703,10112,5060161,,36661342,46908,6947924,,28970872,62610,6744542,,23835516
Hancock ,Iowa,4255,6634561,,39087166,15692,4610115,,27457463,29427,5377501,,38351445,50143,6522357,,25580319,62011,5869302,,23550760
Hancock ,Ohio,4623,6354895,1240523,10991217,10877,5300815,1130761,10258856,9505,4877301,2032538,10809716,29297,2921771,2109906,4468905,33756,5249968,2514445,11238475
Hardin ,Iowa,15620,5709931,,40700148,22940,4631499,,31555124,15868,4237951,,34250780,30616,5998763,,26767933,47969,6152497,,20738669
Hardin ,Ohio,39232,5182782,643068,13600379,57805,4947603,432865,12011733,56286,4797590,788668,12898279,49703,3155434,1066732,4398663,108270,4234680,1448117,9431812
Harrison ,Missouri,30594,3568987,52643,9759824,5344,2300437,93819,3219967,9729,2413737,82585,5971895,71289,2031578,44231,4164278,20800,2269905,98825,4716748
Harrison ,Ohio,4890,156083,34742,548966,6230,101746,14392,424234,21194,89282,14462,373118,16939,6608,4970,87861,35845,20774,23515,304934
Hennepin ,Minnesota,13260,712695,7662,2035931,20045,699219,21577,3257957,28236,522544,41225,1985650,22503,769986,10312,2219224,93346,542098,46103,2189939
Crawford ,Indiana,2615,181207,,324855,,64874,5500,189695,4152,35250,,184298,,44902,8775,146528,2470,24750,,52805
Isanti ,Minnesota,6300,1231602,27592,5418224,16020,1070901,18465,5719624,17011,548581,64118,2655491,37775,1035184,19192,4013424,37529,751220,41496,4406259
Cottonwood ,Minnesota,12472,8528137,82778,34570141,14416,6396087,36070,25050469,53982,6511063,96570,29607200,70585,7022231,53773,23638267,60091,6368870,15602,18545749
Cook ,Illinois,1888,247092,13368,353739,3438,110436,,375456,4000,103146,,205724,5122,221199,8758,439366,20860,364949,11016,1101503
Barry ,Michigan,13393,1564120,298656,5393238,13346,1144501,421487,3655509,16592,949089,233832,4295403,38754,1244020,355872,3906114,45993,782925,481815,2995760
Barry ,Missouri,48000,441034,266522,1493852,,32950,42511,302493,4589,59659,33239,386009,5568,21918,64217,92238,7865,12344,50724,126685
Bay ,Michigan,5227,2913203,1176811,9724791,19842,2232589,1076140,9733297,24805,1176098,1177622,7263192,39242,1772784,574597,6189785,42916,1461273,443866,5950285
Bayfield ,Wisconsin,32795,42947,27802,93262,14410,16851,22543,104616,30866,8620,,49451,80151,7905,10435,231456,82527,,,98845
Becker ,Minnesota,102277,3089889,1938965,9713439,171369,4088176,1809634,10498515,147906,2386414,2202065,4514135,265587,2784101,2114627,1629672,368327,2245953,2755485,1473098
Belmont ,Ohio,2332,4995,9157,54414,3610,1880,,27886,6830,,,45337,15274,,5926,29266,28200,,4456,155103
Beltrami ,Minnesota,101260,475414,385774,258648,95643,384667,420395,324877,219471,205858,290380,59117,154634,27692,78928,83588,293791,,339279,36885
Benton ,Iowa,34634,9265467,,38997592,28111,7197788,2678,26601938,63888,6889435,,33052802,133050,7673891,,28235108,279199,7879339,9548,24169184
Benton ,Minnesota,33240,2081362,9341,8640821,87364,1493361,62213,7677034,114922,510715,61817,3651312,133107,1045378,41606,6311638,149165,595762,21674,5650275
Barron ,Wisconsin,58920,2156629,172662,11114208,108718,1285353,177068,10596006,165239,736267,108360,7468081,176130,1065772,193133,8174260,282139,201700,92789,7209031
Benzie ,Michigan,578,,,163112,,,320,65303,460,,,45302,1051,,815,72124,1796,,,104337
Black Hawk ,Iowa,21110,5944278,,31207231,42019,4178833,,19234326,37306,4894996,,25419237,85042,5406809,,21803101,89421,5395750,,17949662
Blue Earth ,Minnesota,135938,9246445,63315,34834244,14030,6714428,114375,29441207,36106,7026889,24376,32504143,56194,8117852,29808,27675075,60421,7463481,42912,23734842
Bond ,Illinois,4180,4375104,633570,8678553,3800,2451761,965051,1975813,,2549665,1758954,9557464,,2899038,792629,5712899,9530,2356771,1647397,5187755
Boone ,Illinois,14008,1944875,74608,10269232,5910,1524384,243147,8829946,27892,1629421,233167,14618411,47023,2043733,113980,8464527,61524,2115342,106984,8617057
Boone ,Iowa,30262,5997818,,31820288,13568,4348951,,25547788,41445,5449967,,30394991,97652,5574789,,22815697,90400,6255594,,20953660
Branch ,Michigan,13640,3523111,185583,14518654,20898,2962155,238874,10449642,18314,2456919,262487,10518900,19548,2773904,234338,8941042,76113,2222259,402205,10175923
Bremer ,Iowa,20209,4485370,,28556129,49358,3291410,,19372108,48292,3471329,,23420829,109236,4758658,,20456080,138409,3979859,,15228774
Brown ,Minnesota,62499,7223683,51262,30030304,72183,4672903,19578,24108561,133762,5375921,131325,24489175,123515,5756556,99788,19434079,184664,5751640,98440,17767147
Brown ,Wisconsin,102751,1347988,476745,3669836,130233,816828,701669,4575182,226019,715274,1032625,4007165,303298,881164,553913,4247773,639594,530598,327166,4163865
Big Stone ,Minnesota,16040,5420748,675227,17299191,3960,4203420,649057,13891117,14229,3525682,1368279,10921485,28545,4374904,1529935,9928993,14582,3696516,1338051,7463700
Buchanan ,Iowa,58791,5086595,,40709195,67981,3894932,,29948931,78123,4177111,,37902000,222360,6179353,,27777523,266203,5436112,9303,21183789
Baraga ,Michigan,202529,,,18900,78915,,,2004,7906,,,,15279,,,,7670,,,
Audubon ,Iowa,17390,5925421,,23056029,8515,3776512,,14466732,11359,4680340,,18088508,101282,4443662,,14470133,96079,4639176,,13299799
Adair ,Missouri,7560,2177568,75407,2947658,7470,960421,96595,483827,8350,1157320,108383,1573840,23100,1244073,160848,1101434,15125,1135745,138641,1456951
Adams ,Illinois,16076,8624161,333425,32143198,16594,3893605,450317,10513584,15750,3963379,976698,21197584,27632,6285334,738570,19699360,26654,5113475,1380700,15827307
Adams ,Indiana,22005,5154386,436018,11388512,46035,4509590,565088,7828976,61380,3517206,654454,8783390,87035,4140480,541909,6331998,88420,3710809,708807,9767869
Adams ,Iowa,19660,3241577,,10464614,32410,2424284,,7074308,19010,2544054,,8162673,104109,2440301,6800,7827147,116027,2267201,3457,6349193
Adams ,Wisconsin,5972,422651,33085,2464396,10220,335400,56836,2617081,16137,243972,31550,2869864,67065,536666,45079,1994887,37087,328053,11549,2253865
Aitkin ,Minnesota,24946,172084,,125068,36730,141271,26150,207706,42095,,16218,33500,35690,,,117613,45500,1104,,135474
Alcona ,Michigan,21840,134862,30921,378232,26313,48369,66136,274343,22794,7822,67589,125873,37139,,47237,32721,56112,4440,26340,78308
Alger ,Michigan,18639,,,10976,19207,,,,7740,,3684,,,,,,,,,
Allamakee ,Iowa,179507,1747213,,14378509,183268,1453212,,12073557,316497,1070967,9650,9816831,400888,1478436,,9554607,464720,785335,2388,8424348
Auglaize ,Ohio,21926,4875971,814561,10962837,12036,4225812,995261,7205145,25196,4119008,1329146,9030868,23660,2682129,1165111,3838284,83772,3675530,1401240,8382603
Allegan ,Michigan,23370,2621381,366863,11685125,20979,2091048,538500,11400265,41506,1640154,352412,10511013,59786,1763359,375843,7822736,88185,1370612,649745,8073361
Alpena ,Michigan,63114,285006,158436,675215,34959,179791,152582,557114,113788,63227,161394,437559,110651,38552,149305,476672,193605,6063,93731,469971
Andrew ,Missouri,6000,3255466,94258,8705352,,1531568,107905,3353509,3517,2475831,53502,7092151,5938,2185071,84012,4260515,8180,2565378,115596,5503767
Anoka ,Minnesota,5536,232213,,1762557,8080,177429,,1740785,7857,96906,,1061674,5275,159487,5620,1000879,6676,155860,,1023836
Antrim ,Michigan,17360,65877,16140,182515,16719,25660,20239,303313,16620,10704,,197223,33095,,11430,302628,18281,,4085,160479
Appanoose ,Iowa,10450,1425468,,3196702,10240,828382,,1041009,7433,1085469,10944,3975196,50268,1177984,15940,2783553,37878,1338469,7270,3494422
Arenac ,Michigan,20668,929686,506224,2444220,27062,649056,543206,1902046,52648,473207,551132,1817194,46202,526256,387778,1414724,56738,304876,349491,1729069
Ashland ,Ohio,62570,1869699,375082,4642516,88426,1583928,369561,4205540,111013,1486779,493186,4972714,126658,889046,457806,1801328,213287,1214267,369664,4124501
Ashtabula ,Ohio,33470,1869014,158525,2735013,124545,2051710,58542,3860097,198511,1244307,161224,2695306,142672,760136,316402,1445161,135324,493188,122834,1145162
Audrain ,Missouri,25828,8212481,1188943,18774327,51096,3760006,1225471,3816099,16713,4879649,1379267,11718180,58832,6205264,778828,6921357,104417,4742101,1775787,5898923
Allen ,Indiana,22450,6778788,888310,14128286,44780,5541558,943357,10087394,51622,4693191,977087,14001592,88396,5158272,1209895,9054927,144264,4498229,1759612,11845845
Buchanan ,Missouri,30375,3112321,67531,8942220,,1933789,96127,4996290,,2366883,125358,7087660,,1829793,123159,4427913,1580,2081900,277087,4494962
Buena Vista ,Iowa,12046,7951056,,32147520,11649,6069740,,26838986,13260,6657165,,29643976,61447,7067356,,23893505,123735,7294980,,22871024
Buffalo ,Wisconsin,39839,1558554,4253,10203247,113006,1091842,4613,9673413,160402,690559,15571,7259697,215626,882068,8282,6665997,213492,395890,3745,6400104
Chickasaw ,Iowa,10099,4884830,,30179795,33034,3972228,,19505839,83348,4629551,,23972536,127576,4610567,,19255462,172759,4249783,1725,15893239
Chippewa ,Michigan,38024,,,,33684,,5388,,81471,,10691,,35052,,6574,,68021,,,
Chippewa ,Minnesota,7929,5308475,129532,28879671,15934,4113961,164481,26808988,26000,3717669,214523,25032252,57480,5100264,112365,19484667,97960,4405340,216690,14163054
Chippewa ,Wisconsin,147386,2911974,70912,12810343,217959,1701607,21392,10695404,361423,592193,40252,6225718,375122,1035641,20356,8619523,579993,442533,5215,8316474
Chisago ,Minnesota,9620,1210601,8104,4090380,30082,865837,3740,3555546,30272,537685,21851,2604720,32193,847462,26866,2769026,59087,543173,11485,2953240
Christian ,Illinois,1560,11857042,158534,40415812,29232,7709880,90923,23137650,40125,7293879,231909,49617977,57000,8265179,155370,27445283,39500,7160048,409835,25644234
Clare ,Michigan,36104,112817,60580,334312,20573,96247,57543,435810,38636,25286,43710,306692,23479,22330,50263,222942,42426,12465,61412,352400
Clark ,Missouri,17550,3574562,137384,12207239,4008,1854383,194720,3473664,2170,2317706,485899,7890460,31516,2183020,167922,4479123,27984,2560349,241983,5806471
Clark ,Wisconsin,302234,2836421,194583,8483310,572908,1799158,199391,9452055,678752,902487,228899,7318233,508738,1218130,45491,7902216,771041,450241,27701,7395685
Cherokee ,Iowa,37988,7639015,,28722320,11566,6448398,,23418558,21456,5990544,,22871115,78367,6928567,,20578381,96207,6109631,,17714641
Clarke ,Iowa,19859,1009526,,2910128,23830,1023952,,2186797,153314,822763,8424,2978827,128726,913450,14804,3153356,88022,1117156,3263,2881555
Clay ,Iowa,7868,7448595,,28789734,5937,6112712,,23649926,14400,6127045,,25227512,36740,5363547,,19111070,45234,5499126,,16004509
Clay ,Minnesota,44660,7864217,4479793,25224229,25507,7656208,4609524,23871230,104363,5747911,6123035,11085749,205523,5937226,6788792,4306695,124833,3759966,7141200,3873462
Clayton ,Iowa,60844,3621676,5138,31461716,170232,2793559,,25144636,141607,2509217,,25113280,512590,3195307,5966,21476036,665275,2137296,12890,21098566
Clearwater ,Minnesota,113301,505157,264851,583027,142272,349290,240625,451843,214919,185563,270357,491511,124438,259248,238729,154666,303600,24458,169421,168606
Clinton ,Iowa,17915,7032669,,42522758,30818,5986517,,30216046,38967,5356201,3004,37427710,111321,6106326,4089,29053084,244676,5156711,4373,24177699
Clinton ,Michigan,31843,3187501,1158708,7771457,46699,3120131,1502438,9107622,142883,2673933,1275865,9504240,71942,3219626,1275631,6503642,89531,2750733,1239655,7069152
Cole ,Missouri,4956,683547,40746,903200,1658,379008,61317,362567,2180,427902,62786,649041,3030,436709,63943,518019,9174,339095,147769,606396
Columbia ,Wisconsin,35034,2768831,516282,23036556,79201,1577623,615910,14768256,123247,1667148,700255,18448893,209146,2309490,424966,15757580,280530,1724719,262790,14809698
Columbiana ,Ohio,64506,1221548,275780,3435327,97319,885090,269859,2499857,155840,837124,315839,3010923,157163,355059,333892,1041848,258721,460181,266298,2267662
Clay ,Illinois,32124,6579371,1508438,8375547,489,2468287,839089,1935184,,2035521,634160,8473314,,2804521,262839,4628285,,3588989,1265882,6572467
Cheboygan ,Michigan,19535,,18840,,7873,,12350,76402,7630,,11718,45276,8440,,7290,41670,13585,,4122,35358
Charlevoix ,Michigan,11558,,5232,268208,31466,,6740,262601,32714,8990,,250763,24864,,3350,167694,11735,,5758,123771
Champaign ,Illinois,14459,16863789,258342,56143282,25548,12202955,196729,33763949,23516,10992819,177282,57862258,30143,13169533,172632,39024807,69296,12040608,215900,38038580
Bureau ,Illinois,6369,8835987,64898,52497545,12271,5820750,168568,38283552,10745,5288205,271335,58596892,71285,8438972,126251,39848049,64673,8008766,144437,33325414
Burnett ,Wisconsin,66000,463360,22580,1925208,8704,272439,,1378377,27546,132245,28611,803327,29105,167888,45660,1720929,21020,55451,,1192474
Butler ,Iowa,18667,6881606,,35194796,52098,4337331,,21411979,38882,4748984,,36507878,120669,6172773,,23928365,168755,5452637,6825,18855341
Butler ,Ohio,60,1993557,152289,4567981,4252,1650287,199043,3590967,2794,1040799,211785,3851390,8088,1012919,135122,1952270,12688,1253673,324257,3650966
Caldwell ,Missouri,36600,2960024,281726,4279036,,1169558,326140,767775,,1213906,196982,2553926,17932,1081680,84562,1327675,15710,1373449,193833,1836614
Calhoun ,Iowa,3720,7340723,,32635374,26794,4824315,,23693002,22377,6351520,,32189073,46984,7284592,,25582211,77641,6903734,,20217010
Calhoun ,Michigan,3146,2814313,319901,9488519,6282,2318824,447056,6305188,27125,2081927,417574,8154455,45854,2729212,700058,7038468,93760,1931357,685780,7142241
Calumet ,Wisconsin,52074,1403995,442636,3996362,35680,1101765,660325,3992419,140805,909447,819742,4476557,176506,1075160,554365,3993900,297099,657156,384601,3231673
Cape Girardeau ,Missouri,3200,4608889,1019272,7107487,5765,1690717,795774,2673750,,1822364,554833,6545760,3289,1768432,532463,2359809,7913,1724353,855927,3851852
Carlton ,Minnesota,20190,,,27220,34606,,3320,61555,15943,,,66298,49560,,,54172,44520,,,
Carroll ,Illinois,17478,2771206,103705,30708987,28512,1945180,119878,22809394,37311,2008519,86819,30186932,104142,2933623,26362,20176626,145685,2089486,28307,18908341
Carroll ,Indiana,3572,5724358,274799,21795892,725,3271493,202679,13029557,,3069474,279866,19574216,920,4124170,144153,14303636,12701,3734943,279303,14719053
Carroll ,Iowa,10680,6780441,,35877638,7627,3893658,,21598518,84597,5466031,3109,31021106,150515,7028447,,23681414,189536,6333465,5160,20014751
Carroll ,Ohio,77153,458713,78063,1650900,69975,294350,56820,900222,50071,296198,80599,1181311,78936,98650,84681,294310,136372,98147,85462,820029
Carver ,Minnesota,35650,2413639,27002,12823369,69756,1815815,28888,10450283,65769,1703599,86966,10430672,130446,2238375,73351,8916166,150369,1370972,75555,6119729
Cass ,Iowa,5540,5433467,,19007802,23767,3419807,1172,12959710,13899,4659457,,18769379,91288,4695331,,15687393,86806,4156606,,13716417
Cass ,Michigan,1200,2742155,59133,11935071,3535,1475031,107312,13379045,4972,1652036,172751,9383503,15015,1815927,182916,6664895,27474,1453461,246942,6979999
Cass ,Minnesota,2220,,,466732,31634,41005,,637424,10770,,,303305,18445,,,329257,44184,2800,,430075
Cedar ,Iowa,9072,7352498,18131,35632406,27268,5347085,6550,23472973,29939,4844148,28506,31437715,64776,6047648,,25424296,171266,5755500,15297,19555256
Cedar ,Missouri,2980,388434,141724,545880,1735,174047,64633,278322,,101089,67859,229090,2122,147184,95339,143242,1375,174310,69260,227259
Cerro Gordo ,Iowa,15219,6599335,,32449217,19341,3964531,,23386015,21638,4173743,,36673527,70867,5854746,,25304491,94638,5419271,,20026521
Coshocton ,Ohio,17297,956656,132832,4402178,44376,637617,75149,2679722,43716,779179,80110,3857568,50026,602662,104786,1892397,103805,280909,155296,3988842
San Mateo ,California,7456,,,,11070,,,,,,,,18687,,,,8926,,,
